종목코드,업종
181710,IT서비스
183190,건축자재
006880,식품과기본식료품소매
064350,기계
001630,제약
133820,철강
192400,가정용기기와용품
027410,화학
192820,화장품
192820,화장품
200880,자동차부품
204320,자동차부품
112610,에너지장비및서비스
213500,종이와목재
145210,자동차부품
210980,부동산
214390,제약
085620,생명보험
214420,화장품
214320,광고
002690,철강
039570,건설
079550,우주항공과국방
095570,도로와철도운송
089590,항공사
227840,식품과기본식료품소매
214330,자동차부품
075580,조선
226320,화장품
194370,"섬유,의류,신발,호화품"
004440,건축자재
003670,화학
022100,IT서비스
026960,식품
030190,상업서비스와공급품
034230,"호텔,레스토랑,레저"
034830,부동산
035720,양방향미디어와서비스
036420,방송과엔터테인먼트
066970,전기제품
068270,제약
090460,전자장비와기기
100090,건설
108320,디스플레이장비및부품
178920,화학
192080,게임엔터테인먼트
195870,반도체와반도체장비
123890,부동산
016740,자동차부품
248170,식품
249420,제약
229640,전기장비
241590,"섬유,의류,신발,호화품"
101530,식품
210540,기계
234080,제약
207940,제약
241560,기계
143210,자동차부품
111110,"섬유,의류,신발,호화품"
145720,건강관리장비와용품
264900,식품
267250,석유와가스
267260,전기장비
267270,기계
251270,게임엔터테인먼트
267290,가스유틸리티
268280,화학
268280,화학
271560,식품
271980,제약
055490,화학
272550,포장재
092780,자동차부품
272450,항공사
281820,반도체와반도체장비
282330,백화점과일반상점
285130,화학
284740,가정용기기와용품
018250,화장품
091810,항공사
294870,건설
298000,화학
298020,"섬유,의류,신발,호화품"
298040,전기장비
293480,제약
010400,건설
267850,IT서비스
298690,항공사
280360,식품
192650,핸드셋
307950,IT서비스
316140,은행
300720,건축자재
013890,가구
317400,건설
272210,우주항공과국방
322000,에너지장비및서비스
308170,자동차부품
336260,전기제품
336370,전자장비와기기
353200,전자장비와기기
352820,방송과엔터테인먼트
339770,식품
244920,손해보험
363280,방송과엔터테인먼트
306200,철강
009900,자동차부품
375500,건설
248070,전자장비와기기
383800,복합기업
097520,핸드셋
137310,건강관리장비와용품
383220,"섬유,의류,신발,호화품"
378850,자동차부품
323410,은행
259960,게임엔터테인먼트
372910,건강관리장비와용품
089860,도로와철도운송
139990,철강
271940,자동차부품
329180,조선
381970,자동차
377300,IT서비스
402340,반도체와반도체장비
126720,에너지장비및서비스
403550,도로와철도운송
446070,건축자재
377740,건강관리장비와용품
450140,자동차
452260,백화점과일반상점
456040,화학
457190,화학
460850,철강
462520,비철금속
092790,철강
465770,해운사
454910,기계
111380,"섬유,의류,신발,호화품"
017860,화학
278470,화장품
443060,조선
462870,게임엔터테인먼트
062040,전기장비
079900,기계
475560,"호텔,레스토랑,레저"
047770,"섬유,의류,신발,호화품"
066430,화학
000250,제약
000440,석유와가스
001000,핸드셋
001540,제약
001810,종이와목재
001840,건설
002230,전기제품
003100,운송인프라
003310,식품
003800,가구
004590,식품과기본식료품소매
004650,음료
004780,포장재
005160,철강
005290,반도체와반도체장비
005670,식품
005710,자동차부품
005860,식품
267980,식품
267980,식품
006730,"호텔,레스토랑,레저"
002290,건설
002680,식품
006050,건축제품
